
----QMATRIX: [Sensed Threat] > ACTION == UTILITY------
eration Qty: 5000.0
Learning Rate: 0.1
Discount Factor: 0.9
Decay: 0.15
Max View Distance: 10.0

-----SIMULATION STEPS------
Steps | Exploration Rate | QMatrix Size | Crashes | Victories | Distance Moved | Speed
128 80.799805 6 2 2 80.80546 0.015593156
129 80.6498 6 2 2 81.12605 0.031757556
130 80.4998 6 2 2 81.76042 0.04665638
131 80.3498 6 2 2 82.6909 0.015640456
132 80.1998 6 2 2 83.01149 0.03160318
133 80.0498 6 2 2 83.6371 0.0313995
134 79.899796 6 3 2 84.26845 0.031109065
135 79.749794 7 3 2 84.89421 0.04667286
136 79.59979 7 3 2 85.82469 0.015564911
137 79.44979 8 3 2 86.14529 0.032021333
138 79.29979 8 3 2 86.78615 0.031110171
139 79.14979 8 3 2 87.411606 0.01556962
140 78.99979 8 3 2 87.7322 0.031925038
141 78.849785 8 3 2 88.37306 0.031112509
142 78.69978 8 3 2 88.99852 0.015560902
143 78.54978 8 3 2 89.318954 0.015560049
144 78.39978 8 3 2 89.63954 0.031111948
145 78.24978 8 3 2 90.265 0.015559219
146 78.09978 8 3 2 90.585434 0.015558413
147 77.949776 8 3 2 90.90602 0.031111686
148 77.799774 8 3 2 91.531784 0.046654217
149 77.64977 8 3 2 92.46242 0.031111948
150 77.49977 8 3 2 93.087875 0.015559219
151 77.34977 8 3 2 93.40846 0.031111948
152 77.19977 8 3 2 94.03407 0.031111948
153 77.04977 8 3 2 94.65968 0.031111948
154 76.899765 8 3 2 95.28529 0.031111948
155 76.74976 8 3 2 95.91091 0.031852435
156 76.59976 8 3 2 96.55162 0.015600572
157 76.44976 8 3 2 96.87221 0.031097364
158 76.29976 8 3 2 97.49782 0.031097364
159 76.14976 8 3 2 98.12358 0.04665501
160 75.999756 8 3 2 99.05437 0.04665501
161 75.849754 8 3 2 99.985 0.03109823
162 75.69975 8 3 2 100.61076 0.046655152
163 75.54975 8 3 2 101.541405 0.031682026
164 75.39975 8 3 2 102.168915 0.04661935
165 75.24975 8 3 2 103.0997 0.046619594
166 75.09975 9 4 2 104.03412 0.04667282
167 74.949745 10 4 2 104.96475 0.031108856
168 74.79974 10 4 2 105.590515 0.04667282
169 74.64974 10 4 2 106.520996 0.015563965
170 74.49974 10 4 2 106.82634 0.032062806
171 74.34974 10 4 2 107.46705 0.015566595
172 74.19974 10 4 2 107.787636 0.031109441
173 74.049736 10 4 2 108.413246 0.031109441
174 73.899734 10 4 2 109.03886 0.031109441
175 73.74973 10 4 2 109.664314 0.015566595
176 73.59973 10 4 2 109.98491 0.03198462
177 73.44973 10 4 2 110.62562 0.015556132
178 73.29973 10 4 2 110.946205 0.031111194
179 73.14973 10 4 2 111.571815 0.031111194
180 72.999725 10 4 2 112.197426 0.031111194
181 72.849724 10 4 2 112.82304 0.031111194
182 72.69972 10 4 2 113.44865 0.031111194
183 72.54972 10 4 2 114.07426 0.031111194
184 72.39972 10 4 2 114.69987 0.031111194
185 72.24972 10 4 2 115.325485 0.031884227
186 72.09972 10 4 2 115.96635 0.031096546
187 71.949715 10 4 2 116.59196 0.031096948
188 71.79971 10 4 2 117.217575 0.03174468
189 71.64971 10 4 2 117.85059 0.015631324
190 71.49971 10 4 2 118.17118 0.031103827
191 71.34971 10 4 2 118.79679 0.031103827
192 71.19971 10 4 2 119.4224 0.031103827
193 71.049706 10 4 2 120.04801 0.031611416
194 70.899704 10 4 2 120.67362 0.031116826
195 70.7497 10 4 2 121.299385 0.046620112
196 70.5997 10 4 2 122.23002 0.031119261
197 70.4497 11 5 2 122.8564 0.03206743
198 70.2997 11 5 2 123.49727 0.031989153
199 70.1497 11 5 2 124.13814 0.031916104
200 69.999695 11 5 2 124.779 0.031112809
201 69.84969 11 5 2 125.40461 0.031112809
202 69.69969 11 5 2 126.03037 0.046654407
203 69.54969 11 5 2 126.961006 0.03111312
204 69.39969 11 5 2 127.586464 0.015563603
205 69.24969 11 5 2 127.9072 0.046654407
206 69.099686 11 5 2 128.85156 0.03111312
207 68.949684 11 5 2 129.46176 0.015563603
208 68.79968 11 5 2 129.76726 0.046654407
209 68.64968 11 5 2 130.71313 0.03111312
210 68.49968 11 5 2 131.32349 0.03111312
211 68.34968 11 5 2 131.93385 0.031816363
212 68.19968 11 5 2 132.57455 0.015584206
213 68.049675 11 5 2 132.87988 0.031117298
214 67.89967 11 5 2 133.49025 0.03171331
215 67.74967 11 5 2 134.13095 0.015612333
216 67.59967 11 5 2 134.43645 0.046656184
217 67.44967 11 5 2 135.38234 0.03160318
218 67.29967 11 5 2 136.0232 0.031114493
219 67.149666 11 5 2 136.63354 0.031114493
220 66.999664 11 5 2 137.2439 0.031114493
221 66.84966 11 5 2 137.8541 0.015637932
222 66.69966 11 5 2 138.15942 0.031112265
223 66.54966 11 5 2 138.76978 0.031112265
224 66.39966 11 5 2 139.38014 0.03148004
225 66.24966 11 5 2 140.02116 0.04662216
226 66.099655 11 5 2 140.96721 0.046622813
227 65.94965 11 5 2 141.91309 0.03109905
228 65.79965 11 6 2 142.52432 0.04667282
229 65.64965 11 6 2 143.4702 0.031108856
230 65.49965 11 6 2 144.08055 0.031108856
231 65.34965 11 6 2 144.69092 0.03206743
232 65.199646 11 6 2 145.33177 0.03110933
233 65.049644 11 6 2 145.94212 0.03110933
234 64.89964 11 6 2 146.55264 0.046672918
235 64.74964 11 6 2 147.49852 0.031109441
236 64.59964 11 6 2 148.10904 0.046672918
237 64.44964 11 6 2 149.05508 0.046672918
238 64.29964 11 6 2 150.00096 0.031109441
239 64.149635 11 6 2 150.61131 0.031109441
240 63.999634 11 6 2 151.22166 0.031109441
241 63.849632 11 6 2 151.83202 0.031109441
242 63.69963 11 6 2 152.44254 0.046672918
243 63.54963 11 6 2 153.38858 0.046672918
244 63.399628 11 6 2 154.3343 0.015566956
245 63.249626 11 6 2 154.63965 0.031128515
246 63.099625 11 6 2 155.28052 0.031128515
247 62.949623 11 6 2 155.92139 0.031128515
248 62.79962 11 6 2 156.56241 0.046653844
249 62.64962 11 6 2 157.50374 0.046653844
250 62.49962 11 6 2 158.44963 0.031128515
251 62.349617 11 6 2 159.0905 0.031961568
252 62.199615 11 6 2 159.73137 0.031095047
253 62.049614 11 6 2 160.37239 0.046654623
254 61.899612 11 6 2 161.31812 0.01558976
255 61.74961 11 6 2 161.62346 0.031094702
256 61.59961 11 7 2 162.24274 0.031108856
257 61.449608 11 7 2 162.85309 0.031108856
258 61.299606 11 7 2 163.46344 0.031108856
259 61.149605 11 7 2 164.07379 0.031108856
260 60.999603 11 7 2 164.68399 0.015563965
261 60.8496 11 7 2 164.98917 0.015563965
262 60.6996 11 7 2 165.2945 0.031108856
263 60.5496 11 7 2 165.90485 0.031108856
264 60.399597 11 7 2 166.5152 0.031108856
265 60.249596 11 7 2 167.1254 0.015563965
266 60.099594 11 7 2 167.43073 0.031108856
267 59.949593 11 7 2 168.04109 0.03206743
268 59.79959 11 7 2 168.68195 0.031109564
269 59.64959 11 7 2 169.2923 0.031109564
270 59.499588 11 7 2 169.90282 0.046672918
271 59.349586 11 7 2 170.84871 0.031961568
272 59.199585 11 7 2 171.48941 0.015559219
273 59.049583 11 7 2 171.79466 0.02333343
274 58.899582 11 7 2 172.25252 0.031852435
275 58.74958 11 7 2 172.89337 0.031116432
276 58.59958 11 7 2 173.50365 0.023341965
277 58.449577 11 7 2 173.96141 0.023361027
278 58.299576 11 7 2 174.41917 0.02336035
279 58.149574 11 7 2 174.87694 0.02336035
280 57.999573 11 7 2 175.33463 0.015593156
281 57.84957 11 7 2 175.63988 0.02335841
282 57.69957 11 7 2 176.09773 0.031095773
283 57.54957 11 7 2 176.73851 0.02335841
284 57.399567 11 7 2 177.19652 0.046654623
